type,siret
present_2025_not_old,35344632100013
present_2025_not_old,84278460500037
present_2025_not_old,30142757100049
present_2025_not_old,30809971200041
present_2025_not_old,30605903100022
present_2025_not_old,38484869300030
present_2025_not_old,35367138100021
present_2025_not_old,75284368000014
present_2025_not_old,75104972700025
present_2025_not_old,26290376800014
present_2025_not_old,85407378000025
present_2025_not_old,34319107800017
present_2025_not_old,30142757100023
present_2025_not_old,50829639900019
present_2025_not_old,30606443700016
present_2025_not_old,99466732700013
present_2025_not_old,35367168800011
present_2025_not_old,75285459600026
present_2025_not_old,75105756300015
present_2025_not_old,26290389100014
present_2025_not_old,85407378000017
present_2025_not_old,34319107800033
present_2025_not_old,30143265400012
present_2025_not_old,42277200400012
present_2025_not_old,30607403000025
present_2025_not_old,35055033100028
present_2025_not_old,35367248800015
present_2025_not_old,75285520500015
present_2025_not_old,75106139100015
present_2025_not_old,26310354100011
present_2025_not_old,42849803400019
present_2025_not_old,97760756300029
present_2025_not_old,30144625800024
present_2025_not_old,38945665800043
present_2025_not_old,30608960800039
present_2025_not_old,35225097100012
present_2025_not_old,35367353600010
present_2025_not_old,75287179800027
present_2025_not_old,75106937800030
present_2025_not_old,26310385500015
present_2025_not_old,83071510800015
present_2025_not_old,51927280100019
present_2025_not_old,30146960700016
present_2025_not_old,88173013900014
present_2025_not_old,30609675100012
present_2025_not_old,49154337700023
present_2025_not_old,35368485500011
present_2025_not_old,75287179800019
present_2025_not_old,75107405500011
present_2025_not_old,26320078400019
present_2025_not_old,52039851200027
present_2025_not_old,51927280100027
present_2025_not_old,30147861600024
present_2025_not_old,48342277000022
present_2025_not_old,30610343300018
present_2025_not_old,94806254200022
present_2025_not_old,35368681900023
present_2025_not_old,75287599700013
present_2025_not_old,75108302300018
present_2025_not_old,26320378800017
present_2025_not_old,82189790700019
present_2025_not_old,98926686100016
present_2025_not_old,30147925900014
present_2025_not_old,94497177900011
present_2025_not_old,30611291300026
present_2025_not_old,32588559800012
present_2025_not_old,35368951600014
present_2025_not_old,75288671300011
present_2025_not_old,75108997000014
present_2025_not_old,26350076100014
present_2025_not_old,38069956100029
present_2025_not_old,75075347700025
present_2025_not_old,30148026500034
present_2025_not_old,39745512200010
present_2025_not_old,30612923000034
present_2025_not_old,41411994100014
present_2025_not_old,35369026600013
present_2025_not_old,75289002000015
present_2025_not_old,75109056400012
present_2025_not_old,26350298100024
